ID_INDICADOR,SUBCOMPONENTE,ID_TEXTO_MEJORA,LIMITE_INFERIOR,LIMITE_SUPERIOR,TEXTO_MEJORA
10,2,0,0,3,"Si la inversión en la limpieza de vias y áreas comunes por persona en cada cantón annual es inferior a  3 US$ con el objetivo de evitar la degradación de vias y zonas comunes necesario que la Municipalidad aumente los montos, por lo cual se recomienda enviarle una nota solicitándole revise los montos asignados en GIR"
11,3,0,0,0,"Las o la captación del agua de la ASADA no está en zona protegida por el Estado, por lo que es importante que se proteja de forma que se pueda conservar el agua para las futuras generaciones. (reforestación, compra de terrero etc) "
11,3,1,1,1,La ASADA debe vigilar el mantenimiento rutinario  de la captación por parte Estado. 
12,3,0,0,0,Es muy importante que se las zonas de protección de las fuentes de agua esté legalmente demarcadas para evitar daños a las mismas
12,3,1,1,1,Vigilar que la demarcación de la zona protegida de las fuentes de agua se les dé mantenimiento rutinario .
13,3,0,0,0,Vigilar que la demarcación de la zona protegida de las fuentes de agua se les dé mantenimiento rutinario .
13,3,1,1,1,"Dar seguimiento al estudio del balance hidrico. 
Capacitar a la comunidad en el un uso sostenible del agua. 
Coordinar con ONGs, Ministerio de Educación Pública, Universidades y empresa privada para capacitar los grupos meta."
14,3,0,250,1000,"Realizar campañas de educación ambiental dirigidas a la comunidad con el objetivo de reducir del consumo de agua por persona. 
En agroindustrias o pequeñas industrias con procesos industriales húmedos, aplicar metodologías de producción más limpia.
Contar con un registro mensual promedio para garantizar el consumo sostenible del agua."
15,3,0,0,0,"Debe elaborar un plan de atención integral de riesgos, puede solicitar asesoría a AyA, Universidades públicas , ONGs.
Ejecutar el plan de atención de riesgo y darle seguimiento.
Socializar el plan en sus redes sociales y en la comunidad."
15,3,1,1,1,Actualizar el Plan de atención integral de riesgos al menos cada dos años
16,3,0,0,0," Se debe elaborar un programa para la adaptación al cambio climático, puede solicitar asesoría a AyA, Universidades públicas, ONGs"
16,3,1,1,1,Actualizar el programas para adaptación al cambio climático cada año.
17,3,0,0,0,"Implementar la cultura de realizar aforos en las fuentes del acueducto con una frecuencia mensual.
Cotejar los registros de agua consumida por los usuarios contra los registros de los aforos realizados en las fuentes, establecer las posibles pérdidas. "
17,3,1,1,1,"Los datos de los aforos de las fuentes se deben utilizar la contruccíón indicadores o controles de eficiencia, balances hídricos y realizar acciones para que población realice un uos racional y eficiente del recurso hídrico."
18,4,0,0,0,"La ASADA según reglamentación del MINSALUD, debe realizar el plan operativo del acueducto, para lo cual debe hacer uso de la herremienta SERSA, la cual posee la metodologia para la evaluación de los riesgos de los componentes del acueducto. Reglamento 38924-S 2015. 
En caso de no contar con personal capacitado para realizar el plan operativo del acueducto, solicitar asesoría al Ministerio de Salud Area Rectora Local"
18,4,1,1,1,"Realizar la presentación del plan Operativo de su acueducto, según las fechas establecidas por el  Reglamento 38924-S 2015."
19,4,0,0,0,"Diseñar un plan para construir un sistema de desinfección con urgencia
Buscar los fondos y capacitación para construir el sistema
Mantener y controlar el sistema de desinfección"
19,4,1,1,1,Vigilar la operación eficiente del sistema de desinfección.
20,4,0,0,0,"Si la calidad y cantidad del agua no son aceptables es necesario: Diseñar un plan para construir una planta potabilizadora , buscar los fondos y capacitación para construir el sistema, mantener y controlar la planta potabilizadora, buscar alianzas con AyA u otras ASADAs para administrar sistemas comunes."
20,4,1,1,1,Vigilar la operación y mantenimiento de la Planta Potabilizadora
21,4,0,0,0,Iniciar el proceso para obtener el sello de calidad sanitaria.
21,4,1,1,1,Mantener las condiciones para continuar con el sello de calidad sanitaria.
22,5,0,0,10,"Morosidad entre  0% y 10%, la ASADA debe realizar acciones para  disminuir la morosidad de pago de los usuarios cada año, para alcanzar el nivel de cero morosidad. "
22,5,1,11,100,"Morosidad mayor de 10%, en este caso la ASADA debe buscar asesoria con el AyA, con el fin de tener acciones para disminuir la morosidad de pago de los usuarios."
23,5,0,0,40,"Para un porcentaje de agua no contabilizada menor al 40%, la ASADA debe realizar revisión de los componentes del acueducto para establecer en cuales se presentan pérdidas de agua, con el fin de que se realicen mejoras para disminuir el porcentaje de agua no contabilizada.  "
23,5,1,41,100,"Para un porcentaje de agua no contabilizada mayor al 40%, la ASADA se debe realizar del estudio del balance hidrico y localización de las perdidas mediante equipos especilaizados en componentes del acueducto en especial, en las redes de conducción y de distribucción."
24,6,0,0,100,"Según Mideplan si su índice está entre 100-72,5 su cantón se encuentra ubicado en el mayor desarrollo relativo. Si el valor esta entre 72,5-58 se encuentra en nivel medio. Para valores entre 57,9-43,9 se encuentra en nivel bajo. Valores inferiores a 43,8-0 estará ubicado en un nivel muy bajo. MIDEPLAN https://documentos.mideplan.go.cr/share/s/7gQJ5YXdSWKep9pZLfyzJA _x000D_"
25,7,0,0,0,"La ASADA debe iniciar acciones para cumplir con los requisitos solicitados en el Programa Bandera Azul Ecológica.
La ASADA debe incentivar a la comunidad para que se inscriba y certifique en el Programa de Bandera Azul Ecológica."
25,7,1,1,1,Velar por el mantenimiento de la bandera azul ecológica.
26,7,0,0,0,"Incorporar en el plan de trabajo acciones para desarrollar programas de educación ambiental comunal, coordinar estas acciones con la Municipalidad, ONGs, Universidades, Ministerio de Salud y Ministerio de Educación y MINAE. "
26,7,1,1,1,Continuar con los programas de educación ambiental.
27,8,1,1,1,"Coordinar con la Comisión Nacional de Emergencia para establecer planes de mitigación debido a los riesgos de inundación. Coordinar con la Municipalidad acciones conjuntas.
Mantener un fondo para reparaciones del acueducto por afectaciones de inudaciones. 
Planificar el cambio de las infraestructuras hasta sitios con menos riesgo cuando sea posible. "
28,8,1,1,1,"Coordinar con la Comisión Nacional de Emergencia para establecer planes de mitigación debido a los riesgos de deslizamiento. Coordinar con la Municipalidad acciones conjuntas. 
Mantener un fondo para reparaciones del acueducto por afectaciones de deslizamiento.  
Planificar el cambio de las infraestructuras hasta sitios con menos riesgo cuando sea posible. "
29,8,1,1,1,"Coordinar con la Comisión Nacional de Emergencia para establecer planes de mitigación debido a los riesgos volcánicos. Coordinar con la Municipalidad acciones conjuntas. 
Mantener un fondo para reparaciones del acueducto por afectaciones volcánicas.  
Planificar el cambio de las infraestructuras hasta sitios con menos riesgo cuando sea posible. "
30,8,1,1,1,"Coordinar con la Comisión Nacional de Emergencia para establecer planes de mitigación debido a los riesgos por zona sísmica. Coordinar con la Municipalidad acciones conjuntas. 
Mantener un fondo para reparaciones del acueducto por afectaciones de sismo.  
Planificar el cambio de las infraestructuras hasta sitios con menos riesgo cuando sea posible. "
